ID,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,long,sqft_living15,sqft_lot15
13001215,20150305T000000,"1,500,000.00",3,1,1100,5100,1,0,0,4,7,1100,0,1913,0,683581,76.4766,1450,5100
31000165,20140911T000000,"1,500,000.00",5,3.5,3620,7821,2,0,2,3,10,2790,830,1958,2010,682035,78.278512,2690,9757
31200020,20150319T000000,"1,500,000.00",5,2.75,3050,8904,1,0,0,4,8,1650,1400,1956,0,682036,76.2956,2920,8904
40000362,20140506T000000,"1,560,000.00",2,1,780,16344,1,0,0,1,5,780,0,1942,0,683581,76.6582,1700,10387
8658300340,20140523T000000,"1,600,000.00",1,0.75,430,5050,1,0,0,2,4,430,0,1912,0,683581,76.5778,1200,7500
40000471,20140604T000000,"2,300,000.00",2,1,1500,18540,1,0,0,3,8,1500,0,1950,0,683572,76.35557,1700,9355
41000454,20140815T000000,"2,560,000.00",2,1,880,9000,1,0,0,3,5,880,0,1928,0,683581,76.4762,1410,10000
42000245,20140613T000000,"2,560,000.00",4,2,1520,19672,1,0,0,3,6,1020,500,1920,0,683572,76.4083,1810,7840
46100204,20150221T000000,"2,560,000.00",5,3,3300,33474,1,0,3,3,9,1870,1430,1957,1991,682035,76.35124711,3836,20953
46100350,20140630T000000,"2,575,000.00",5,3.5,5000,26540,2,0,3,3,10,3410,1590,2008,0,682005,76.27879128,3360,17398
46100504,20140617T000000,"2,580,000.00",4,3.75,4100,22798,1.5,0,3,5,11,2540,1560,1934,1979,682005,76.266,3880,18730
87000213,20140613T000000,"2,580,000.00",2,1,1150,30184,1,0,0,3,6,1150,0,1950,0,683581,76.5520 ,1670,19684
91000320,20140923T000000,"2,580,000.00",2,1,980,3350,1,0,0,4,7,980,0,1925,0,683574,76.4527,1260,4000
98000060,20140714T000000,"2,597,760.00",4,4,5320,20041,2,0,0,3,11,5320,0,2003,0,682021,76.3426,4640,17268
98000130,20150324T000000,"2,600,000.00",4,5,4630,24054,2,0,3,3,11,4630,0,2005,0,682037,76.3435,4630,17584
98000150,20150102T000000,"2,600,000.00",4,4,4930,22093,2,0,3,3,12,4930,0,2004,0,682034,76.2875,4630,18889
98000750,20141021T000000,"2,600,000.00",5,3.75,4220,15959,2,0,0,3,11,4220,0,2004,0,682027,76.2599,4630,16531
98000870,20141001T000000,"2,600,000.00",4,3.5,4460,16271,2,0,2,3,11,4460,0,2001,0,682504,76.2543,4540,17122
98000950,20141210T000000,"2,600,000.00",4,5.25,4140,14757,2,0,2,3,11,4140,0,2005,0,682504,76.2543,4440,15523
98000960,20140513T000000,"2,600,000.00",4,3.25,4400,16625,2,0,0,3,11,4400,0,2003,0,682039,76.3171,4440,15523
98000980,20150427T000000,"2,600,000.00",4,3.5,4570,16219,2,0,0,3,11,4570,0,2002,0,682507,76.2519,4700,16500
98001000,20141007T000000,"2,600,000.00",5,3.5,5050,16500,2,0,2,3,11,5050,0,2001,0,682036,76.2931,4570,16500
98001070,20140818T000000,"2,880,000.00",5,4.25,4610,13252,2,0,4,3,11,4610,0,2004,0,682027,76.2599,4400,15154
98020630,20150414T000000,"2,880,000.00",4,3.5,4070,10976,2,0,0,3,10,4070,0,2004,0,683511,76.306,4080,10106
98300230,20150428T000000,"2,899,500.00",4,4,4620,130208,2,0,0,3,10,4620,0,2014,0,682034,76.2875,4620,131007
100600320,20140813T000000,"2,900,000.00",3,1,1430,7000,1,0,0,3,6,1430,0,1968,0,682020,76.35079702,1050,7700
104550580,20140520T000000,"2,900,000.00",4,2.5,1990,6671,2,0,0,3,7,1990,0,1989,0,683573,76.3711,1862,6566
111000190,20150209T000000,"2,900,000.00",2,1,780,9750,1,0,0,3,6,780,0,1937,0,686681,76.5389,1670,9750
123039336,20140611T000000,"2,900,000.00",1,1,620,8261,1,0,0,3,5,620,0,1939,0,686681,76.4728,1180,8244
123039364,20140521T000000,"2,912,000.00",2,1,970,13700,1,0,0,3,6,970,0,1949,0,682032,76.3082,1570,10880
124000160,20140701T000000,"2,920,000.00",4,1,1410,3376,1.5,0,0,5,7,1410,0,1911,0,683514,76.1876,1040,3600
125069038,20141125T000000,"2,920,000.00",4,3.75,5150,453895,2,0,3,3,11,4360,790,1997,0,683101,76.3523,2500,215186
126059018,20150108T000000,"2,926,000.00",4,2.25,1780,10748,2,0,0,4,8,1780,0,1964,0,682311,76.4741,2070,37680
126059310,20141130T000000,"2,940,000.00",3,2.25,3040,52302,1,0,0,3,9,3040,0,2005,0,682306,76.3360 ,2070,38600
148000475,20140528T000000,"2,940,000.00",4,3.25,4700,9160,1,0,4,3,11,2520,2180,2005,0,682037,76.3342,2240,8700
170000060,20141008T000000,"2,944,000.00",5,3.5,3900,4400,2,0,0,3,9,2650,1250,2014,0,682023,76.269,1190,4400
179000100,20140826T000000,"2,948,000.00",2,1,600,4854,1,0,0,5,6,600,0,1922,0,683572,76.4083,1470,5000
191100140,20150316T000000,"2,950,000.00",4,2.5,2250,10160,2,0,0,5,8,2250,0,1967,0,682504,76.2543,2660,10125
191100235,20140603T000000,"2,950,000.00",4,3.5,2790,10125,1.5,0,0,5,8,2790,0,1985,0,682013,76.2942,2570,10125
191100275,20140926T000000,"2,950,000.00",4,3.5,3500,9525,2,0,0,3,10,3500,0,1999,0,682016,76.2943,2630,9525
191100405,20150421T000000,"2,960,000.00",4,3.25,3410,10125,2,0,0,3,10,3410,0,2007,0,682035,76.2851,2290,10125
191100410,20140620T000000,"2,960,000.00",3,2.75,2470,10125,2,0,0,3,8,2470,0,1960,2012,683511,76.306,2290,10125
191100435,20140926T000000,"2,964,520.00",5,3.75,3570,10125,2,0,0,3,10,3570,0,2014,0,682022,76.3250 ,1760,10125
191100672,20140527T000000,"2,978,000.00",4,3.75,3160,9525,2.5,0,0,3,10,3160,0,1997,0,682502,76.2085,2400,9525
192450200,20140821T000000,"2,980,000.00",3,1.5,1140,20383,1,0,0,3,7,840,300,1985,0,683561,76.3926,1200,15625
194000145,20150312T000000,"2,980,000.00",4,2.75,2410,5650,1.5,0,0,5,8,2070,340,1909,0,683516,76.1914,1960,5650
203100440,20140911T000000,"2,990,000.00",3,3.75,5400,24740,2,0,0,3,11,5400,0,1997,0,682023,76.3174,1690,20000
203100625,20140529T000000,"2,998,000.00",3,2.5,2620,21587,2,0,0,3,7,2620,0,1992,0,683519,76.2422,2570,23650
203100690,20150425T000000,"3,000,000.00",4,2.75,3160,42733,2,0,0,3,9,3160,0,1995,0,682021,76.3742,1890,24000
203101370,20140630T000000,"3,000,000.00",2,1,1200,24792,2,0,0,2,7,1200,0,1976,0,683572,76.3554,2150,24792
217500015,20150224T000000,"3,000,000.00",3,1.5,1730,7800,1,0,0,3,7,1330,400,1958,0,682311,76.4832,1780,8309
217500135,20150421T000000,"3,400,000.00",4,2.25,2040,9565,1,0,0,3,8,1400,640,1959,0,683517,76.2662,1890,8580
223039330,20150407T000000,"3,400,000.00",3,3,3250,5093,2,0,3,3,10,3250,0,2004,0,682039,76.3145,2820,7752
224059025,20140620T000000,"3,400,000.00",3,3,4910,43560,2,0,0,4,10,4000,910,1989,0,682008,76.273,3540,12288
226059078,20150227T000000,"3,400,000.00",2,1,1840,81892,1,0,0,3,6,1840,0,1955,0,682001,76.240184,2550,40089
226059096,20141118T000000,"3,400,000.00",5,4.5,5220,67319,2,0,0,3,11,5220,0,2001,0,682035,76.2802,4190,40609
226109056,20150326T000000,"3,400,000.00",1,0.75,850,5600,1,0,2,3,6,850,0,1903,1994,683572,76.3559,900,12250
249000180,20141201T000000,"3,400,000.00",4,4.25,4285,9345,2,0,0,3,10,4285,0,2013,0,682002,76.249855,1570,8994
249000205,20141015T000000,"3,400,000.00",5,3.75,4470,8088,2,0,0,3,11,4470,0,2008,0,682035,76.2832,2780,8964
250000010,20140924T000000,"3,400,000.00",4,3.5,3845,8400,2,0,0,3,10,3845,0,2013,0,683515,76.1753,1710,8400
250000090,20140714T000000,"3,400,000.00",4,4.5,4650,7660,2,0,0,3,11,3640,1010,2008,0,683515,76.1753,1710,8400
251300110,20140731T000000,"3,400,000.00",3,2.25,2510,12013,2,0,0,3,8,2510,0,1988,0,682030,76.3453,1870,8017
251500080,20140826T000000,"3,400,000.00",4,4,4810,18851,2,0,3,3,11,4810,0,2007,0,682030,76.3567,3970,19929
251500330,20141014T000000,"3,400,000.00",3,2.25,4320,19225,1,0,0,4,10,2160,2160,1972,0,682010,76.2876,3430,18469
251610020,20150508T000000,"3,400,000.00",4,2.75,3480,19991,2,0,2,4,10,2630,850,1979,0,682024,76.3142,3770,20271
251620090,20140530T000000,"3,400,000.00",4,3.25,4140,20734,1,0,1,3,10,3300,840,1977,2005,682018,76.2826,4020,20008
251620110,20140702T000000,"3,410,000.00",4,2.5,4080,18362,2,0,2,4,11,4080,0,1983,0,683101,76.3683,4080,19991
254000445,20150129T000000,"3,410,000.00",6,3.75,2940,5054,2,0,0,3,7,2940,0,1942,2003,683513,76.2406,1530,5320
257000057,20140916T000000,"3,420,000.00",3,1.5,1150,11571,1,0,0,3,7,1150,0,1961,0,682020,76.31150463,1630,11571
259600530,20140505T000000,"3,430,000.00",4,1,2070,7519,1,0,0,3,7,1160,910,1963,0,683513,76.2355,1730,7519
269000085,20140708T000000,"3,436,000.00",4,3.5,3960,6654,2,0,0,3,10,2850,1110,2006,0,682027,76.2724,2840,6400
269000240,20141030T000000,"3,440,000.00",5,2.25,2960,7680,1,0,2,5,8,1550,1410,1958,0,682039,76.3164,2860,7680
269000950,20140730T000000,"3,440,000.00",3,4,2550,3900,2,0,2,3,8,2050,500,1940,2003,683520,76.206,2340,6400
269000970,20150402T000000,"3,440,000.00",5,3.75,4450,7680,2,0,0,3,9,3460,990,2010,0,682013,76.2947,2550,6400
269001331,20140909T000000,"3,440,800.00",5,2.5,3200,7863,1,0,3,5,8,1600,1600,1959,0,682013,76.2976,2640,7680
284000025,20150420T000000,"3,447,600.00",2,2,2180,18525,1,1,4,5,9,1580,600,1952,0,682037,76.3347,2480,21503
284000095,20140922T000000,"3,450,000.00",2,2.25,2160,17861,2,1,4,4,9,2160,0,1956,0,682023,76.266,2660,18530
293070120,20140918T000000,"3,450,000.00",4,2.75,3540,5500,2,0,0,3,9,3540,0,2014,0,683516,76.2086,3540,5500
293720140,20140605T000000,"3,450,000.00",3,2.5,2170,4912,2,0,0,3,7,2170,0,2003,0,683517,76.2710 ,2010,4395
293760050,20140627T000000,"3,460,000.00",4,4.25,4390,13833,2,0,3,3,10,3320,1070,2003,0,682039,76.3173,3850,11652
293760150,20141017T000000,"3,460,000.00",4,3.5,4320,8490,2,0,0,3,10,3280,1040,2005,0,682036,76.2968,4030,11008
293760210,20140826T000000,"3,460,000.00",5,4.5,4130,10404,2,0,0,3,10,4130,0,2004,0,682026,76.2870 ,3890,11531
301401370,20140731T000000,"3,465,000.00",4,2.75,2475,4276,2,0,0,3,7,2475,0,2014,0,683561,76.3926,2475,4000
301401390,20140805T000000,"3,465,000.00",4,2.75,2475,4000,2,0,0,3,7,2475,0,2014,0,683561,76.3926,2166,4000
303000220,20150421T000000,"3,480,000.00",4,2,2270,18450,1,0,0,3,7,2270,0,1961,0,682001,76.27230229,2150,18450
312000265,20150504T000000,"3,480,000.00",2,1,790,5120,1,0,0,3,6,790,0,1950,0,682001,76.26325378,1250,5120
322059264,20140926T000000,"3,490,000.00",2,1,1020,47044,1,0,0,5,7,1020,0,1904,1958,682032,76.31207,1930,12139
323059327,20140703T000000,"3,490,000.00",4,3.5,4370,10860,2,0,0,3,11,4370,0,2008,0,682036,76.2941,3560,8070
323079065,20140624T000000,"3,498,000.00",4,3.5,3190,31450,2,0,0,3,9,3190,0,2010,0,683516,76.1999,3000,72745
323079101,20150123T000000,"3,499,000.00",4,3.5,6370,205603,2,0,0,3,12,6370,0,2008,0,682002,76.255875,1490,33580
324000370,20140721T000000,"3,499,000.00",3,1,1710,5000,1,0,0,5,7,1140,570,1921,0,683513,76.2368,1670,4000
324069112,20140617T000000,"3,980,000.00",4,4,4420,16526,2,0,0,3,11,4420,0,2013,0,682016,76.2854,3510,50447
327000050,20141212T000000,"3,980,000.00",4,3.25,3860,7199,2,0,1,3,9,2870,990,2005,0,682035,76.285634,2940,9600
327000100,20141022T000000,"3,980,000.00",4,2.5,2960,26742,1,0,3,3,8,1480,1480,1949,1996,682027,76.2599,2500,9460
327000165,20150413T000000,"3,980,000.00",4,2.5,2330,30122,1,0,1,3,8,1490,840,1951,0,682029,76.2686,2430,6726
328000160,20141211T000000,"3,980,000.00",5,3.75,3700,7920,3,0,4,3,9,2900,800,1983,0,682037,76.3329,2860,6360
333100265,20140924T000000,"3,982,580.00",4,3.25,3160,10043,2,0,2,3,9,3160,0,2011,0,682301,76.3579,3450,10043
333100295,20141124T000000,"3,988,000.00",3,3.5,4490,56609,2,1,4,3,12,4490,0,1993,0,682030,76.3567,2710,51330
339600110,20140923T000000,"3,990,000.00",3,2.5,1610,3755,2,0,0,3,7,1610,0,1987,0,682311,76.4832,1300,3823
342000570,20140909T000000,"3,990,000.00",2,1,1080,3600,1,0,0,3,7,1080,0,1922,0,683522,76.2099,2230,4500
357000135,20150218T000000,"3,990,000.00",4,2.5,3070,7830,2,0,2,3,11,1970,1100,2009,0,682006,76.277,2440,4682
